"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_DECO_CLASHBALL_GOAL","Football Camp","معسكر كرة القدم","足球训练营","足球訓練營","Fußballcamp","Campo de entrenamiento","کمپ فوتبال","Jalkapalloleiri","Camp de football","Kamp Sepak Bola","Campo da calcio","サッカー場","축구 캠프","Kem Bola Sepak","Voetbalkamp","Fotballeir","Campo de futebol","Футбольный лагерь","ค่ายฟุตบอล","Futbol Kampı","Trại bóng đá"
"TID_DECO_CLASHBALL_GOLDENBOOT","Golden Boot","الحذاء الذهبي","荣誉金靴","榮譽金靴","Goldener Schuh","Bota de oro","کفش طلا","Kultainen kenkä","Chaussure dorée","Sepatu Emas","Scarpa d'oro","黄金のスパイク","황금 축구화","But Keemasan","Gouden laars","Gullstøvel","Chuteira dourada","Золотая бутса","บูททองคำ","Altın Krampon","Chiếc giày vàng"
"TID_DECO_CLASHBALL_STATUECHARACTER","Haaland Statue","تمثال هالاند","哈兰德雕像","哈蘭德雕像","Haaland-Statue","Estatua de Haaland","مجسمه هالند","Haaland-patsas","Statue de Haaland","Patung Haaland","Statua di Haaland","ハーランドの像","홀란드 조각상","Patung Haaland","Haaland-standbeeld","Haaland-statue","Estátua Haaland","Статуя Холанна","อนุสรณ์ฮาแลนด์","Haaland Heykeli","Tượng Haaland"
"TID_DECO_CLASHBALL_TROPHYBALL","Bestest Ball","أفضل كرة","盖世金球","稀世金球","Allerbester Ball","Balón victorioso","بهترین توپ","Palloista paras","Meilleur ballon","Bola Paling Bola","Pallone dei palloni","黄金のボール","베스트 볼","Bola Terbaik","Meest beste bal","Beste ball","Bola perfeita","Лучший мяч","ลูกบอลดีเด่น","Şampiyonlar Topu","Quả bóng vàng"
"TID_DECO_CLASHBALL_TROPHYBEVERAGE","Victory Milk","حليب الانتصار","胜利牛奶","勝利牛奶","Siegesmilch","Leche de la victoria","شیر پیروزی","Voittajien juoma","Lait de victoire","Minuman Kemenangan","Latte dei campioni","勝利のミルク","승리의 우유","Susu Kemenangan","Overwinningsmelk","Seiersmelk","Leite da vitória","Молоко за победу","น้ำนมแห่งชัยชนะ","Zafer Sütü","Bình sữa của nhà vô địch"
"TID_DECO_CLASHBALL_TROPHYCROWN","Triumphant Trophy","كأس النصر","冠军奖杯","冠軍獎盃","Triumphtrophäe","Trofeo triunfante","جام پیروز","Kruunupokaali","Trophée triomphant","Trofi Kemenangan","Trofeo dei trionfi","栄冠のトロフィー","승리의 트로피","Trofi Tidak Terkalah","Triomfantelijke trofee","Triumferende trofé","Troféu triunfante","Триумфальный трофей","ถ้วยรางวัลฉลองชัย","Zafer Kupası","Cúp vô địch"
"TID_DECO_CLASHBALL_TROPHYCUP","Celebration Cup","كأس الاحتفال","庆典金杯","慶典金盃","Feierpokal","Copa de celebración","جام جشن","Pallopokaali","Coupe de célébration","Piala Emas","Coppa dei campioni","優勝カップ","셀레브레이션 컵","Piala Perayaan","Vieringsbeker","Feiringscup","Taça da vitória","Призовой кубок","ถ้วยเฉลิมฉลอง","Kutlama Kupası","Cúp kỷ niệm"
"TID_DECO_GAME_CAMPAIGN","Surprising Squad","مفاجأة الفرقة","惊喜小队","驚喜突擊隊","Bunter Squad","Squad sorprendente","جوخه غافلگیری","Yllätysposse","Squad surprise","Kejutan Squad","Squadra sorprendente","ビックリスクワッド","놀라운 스쿼드","Skuad Mengejutkan","Verrassende squad","Overraskende stall","Esquadrão surpresa","Странный отряд","ก๊วนเซอร์ไพรส์","Sürpriz Takım","Biệt đội bất ngờ"
"TID_SCENERY_EGYPT","Egypt Scenery","منظر مصر","埃及古迹","古埃及文明","Ägyptische Szenerie","Paisaje egipcio","منظره مصر","Egyptiläinen maisema","Décor égyptien","Latar Mesir","Villaggio egiziano","エジプトの背景","이집트 배경","Latar Mesir","Egyptische omgeving","Egyptisk landskap","Paisagem egípcia","Египетское оформление","ฉากไอยคุปต์","Mısır Arka Planı","Phong cảnh Ai Cập"
"TID_SCENERY_SPACE","Space Scenery","منظر الفضاء","太空幻境","太空幻境","Weltraumszenerie","Paisaje espacial","منظره فضا","Avaruusmaisema","Décor spatial","Latar Antariksa","Villaggio spaziale","宇宙の背景","우주 배경","Latar Angkasa Lepas","Ruimteomgeving","Romlandskap","Paisagem sideral","Космическое оформление","ฉากอวกาศ","Uzay Arka Planı","Phong cảnh Không gian"
